r,s,pt,steps,y,H2Price
1,1,5,1,2023,0.1
1,1,5,1,2024,0.1
1,1,5,1,2025,0.1
1,1,5,1,2026,0.1
1,1,5,1,2027,0.1
1,1,5,1,2028,0.1
1,1,5,1,2029,0.1
1,1,5,1,2030,0.1
1,1,5,1,2031,0.1
1,1,5,1,2032,0.1
1,1,5,1,2033,0.1
1,1,5,1,2034,0.1
1,1,5,1,2035,0.1
1,1,5,1,2036,0.1
1,1,5,1,2037,0.1
1,1,5,1,2038,0.1
1,1,5,1,2039,0.1
1,1,5,1,2040,0.1
1,1,5,1,2041,0.1
1,1,5,1,2042,0.1
1,1,5,1,2043,0.1
1,1,5,1,2044,0.1
1,1,5,1,2045,0.1
1,1,5,1,2046,0.1
1,1,5,1,2047,0.1
1,1,5,1,2048,0.1
1,1,5,1,2049,0.1
1,1,5,1,2050,0.1
1,1,5,2,2023,0.2
1,1,5,2,2024,0.2
1,1,5,2,2025,0.2
1,1,5,2,2026,0.2
1,1,5,2,2027,0.2
1,1,5,2,2028,0.2
1,1,5,2,2029,0.2
1,1,5,2,2030,0.2
1,1,5,2,2031,0.2
1,1,5,2,2032,0.2
1,1,5,2,2033,0.2
1,1,5,2,2034,0.2
1,1,5,2,2035,0.2
1,1,5,2,2036,0.2
1,1,5,2,2037,0.2
1,1,5,2,2038,0.2
1,1,5,2,2039,0.2
1,1,5,2,2040,0.2
1,1,5,2,2041,0.2
1,1,5,2,2042,0.2
1,1,5,2,2043,0.2
1,1,5,2,2044,0.2
1,1,5,2,2045,0.2
1,1,5,2,2046,0.2
1,1,5,2,2047,0.2
1,1,5,2,2048,0.2
1,1,5,2,2049,0.2
1,1,5,2,2050,0.2
1,1,5,3,2023,0.3
1,1,5,3,2024,0.3
1,1,5,3,2025,0.3
1,1,5,3,2026,0.3
1,1,5,3,2027,0.3
1,1,5,3,2028,0.3
1,1,5,3,2029,0.3
1,1,5,3,2030,0.3
1,1,5,3,2031,0.3
1,1,5,3,2032,0.3
1,1,5,3,2033,0.3
1,1,5,3,2034,0.3
1,1,5,3,2035,0.3
1,1,5,3,2036,0.3
1,1,5,3,2037,0.3
1,1,5,3,2038,0.3
1,1,5,3,2039,0.3
1,1,5,3,2040,0.3
1,1,5,3,2041,0.3
1,1,5,3,2042,0.3
1,1,5,3,2043,0.3
1,1,5,3,2044,0.3
1,1,5,3,2045,0.3
1,1,5,3,2046,0.3
1,1,5,3,2047,0.3
1,1,5,3,2048,0.3
1,1,5,3,2049,0.3
1,1,5,3,2050,0.3
1,2,5,1,2023,999.0
1,2,5,1,2024,999.0
1,2,5,1,2025,999.0
1,2,5,1,2026,999.0
1,2,5,1,2027,999.0
1,2,5,1,2028,999.0
1,2,5,1,2029,999.0
1,2,5,1,2030,999.0
1,2,5,1,2031,999.0
1,2,5,1,2032,999.0
1,2,5,1,2033,999.0
1,2,5,1,2034,999.0
1,2,5,1,2035,999.0
1,2,5,1,2036,999.0
1,2,5,1,2037,999.0
1,2,5,1,2038,999.0
1,2,5,1,2039,999.0
1,2,5,1,2040,999.0
1,2,5,1,2041,999.0
1,2,5,1,2042,999.0
1,2,5,1,2043,999.0
1,2,5,1,2044,999.0
1,2,5,1,2045,999.0
1,2,5,1,2046,999.0
1,2,5,1,2047,999.0
1,2,5,1,2048,999.0
1,2,5,1,2049,999.0
1,2,5,1,2050,999.0
1,3,5,1,2023,0.1
1,3,5,1,2024,0.1
1,3,5,1,2025,0.1
1,3,5,1,2026,0.1
1,3,5,1,2027,0.1
1,3,5,1,2028,0.1
1,3,5,1,2029,0.1
1,3,5,1,2030,0.1
1,3,5,1,2031,0.1
1,3,5,1,2032,0.1
1,3,5,1,2033,0.1
1,3,5,1,2034,0.1
1,3,5,1,2035,0.1
1,3,5,1,2036,0.1
1,3,5,1,2037,0.1
1,3,5,1,2038,0.1
1,3,5,1,2039,0.1
1,3,5,1,2040,0.1
1,3,5,1,2041,0.1
1,3,5,1,2042,0.1
1,3,5,1,2043,0.1
1,3,5,1,2044,0.1
1,3,5,1,2045,0.1
1,3,5,1,2046,0.1
1,3,5,1,2047,0.1
1,3,5,1,2048,0.1
1,3,5,1,2049,0.1
1,3,5,1,2050,0.1
1,4,5,1,2023,0.1
1,4,5,1,2024,0.1
1,4,5,1,2025,0.1
1,4,5,1,2026,0.1
1,4,5,1,2027,0.1
1,4,5,1,2028,0.1
1,4,5,1,2029,0.1
1,4,5,1,2030,0.1
1,4,5,1,2031,0.1
1,4,5,1,2032,0.1
1,4,5,1,2033,0.1
1,4,5,1,2034,0.1
1,4,5,1,2035,0.1
1,4,5,1,2036,0.1
1,4,5,1,2037,0.1
1,4,5,1,2038,0.1
1,4,5,1,2039,0.1
1,4,5,1,2040,0.1
1,4,5,1,2041,0.1
1,4,5,1,2042,0.1
1,4,5,1,2043,0.1
1,4,5,1,2044,0.1
1,4,5,1,2045,0.1
1,4,5,1,2046,0.1
1,4,5,1,2047,0.1
1,4,5,1,2048,0.1
1,4,5,1,2049,0.1
1,4,5,1,2050,0.1
2,1,5,1,2023,0.1
2,1,5,1,2024,0.1
2,1,5,1,2025,0.1
2,1,5,1,2026,0.1
2,1,5,1,2027,0.1
2,1,5,1,2028,0.1
2,1,5,1,2029,0.1
2,1,5,1,2030,0.1
2,1,5,1,2031,0.1
2,1,5,1,2032,0.1
2,1,5,1,2033,0.1
2,1,5,1,2034,0.1
2,1,5,1,2035,0.1
2,1,5,1,2036,0.1
2,1,5,1,2037,0.1
2,1,5,1,2038,0.1
2,1,5,1,2039,0.1
2,1,5,1,2040,0.1
2,1,5,1,2041,0.1
2,1,5,1,2042,0.1
2,1,5,1,2043,0.1
2,1,5,1,2044,0.1
2,1,5,1,2045,0.1
2,1,5,1,2046,0.1
2,1,5,1,2047,0.1
2,1,5,1,2048,0.1
2,1,5,1,2049,0.1
2,1,5,1,2050,0.1
2,1,5,2,2023,0.2
2,1,5,2,2024,0.2
2,1,5,2,2025,0.2
2,1,5,2,2026,0.2
2,1,5,2,2027,0.2
2,1,5,2,2028,0.2
2,1,5,2,2029,0.2
2,1,5,2,2030,0.2
2,1,5,2,2031,0.2
2,1,5,2,2032,0.2
2,1,5,2,2033,0.2
2,1,5,2,2034,0.2
2,1,5,2,2035,0.2
2,1,5,2,2036,0.2
2,1,5,2,2037,0.2
2,1,5,2,2038,0.2
2,1,5,2,2039,0.2
2,1,5,2,2040,0.2
2,1,5,2,2041,0.2
2,1,5,2,2042,0.2
2,1,5,2,2043,0.2
2,1,5,2,2044,0.2
2,1,5,2,2045,0.2
2,1,5,2,2046,0.2
2,1,5,2,2047,0.2
2,1,5,2,2048,0.2
2,1,5,2,2049,0.2
2,1,5,2,2050,0.2
2,1,5,3,2023,0.3
2,1,5,3,2024,0.3
2,1,5,3,2025,0.3
2,1,5,3,2026,0.3
2,1,5,3,2027,0.3
2,1,5,3,2028,0.3
2,1,5,3,2029,0.3
2,1,5,3,2030,0.3
2,1,5,3,2031,0.3
2,1,5,3,2032,0.3
2,1,5,3,2033,0.3
2,1,5,3,2034,0.3
2,1,5,3,2035,0.3
2,1,5,3,2036,0.3
2,1,5,3,2037,0.3
2,1,5,3,2038,0.3
2,1,5,3,2039,0.3
2,1,5,3,2040,0.3
2,1,5,3,2041,0.3
2,1,5,3,2042,0.3
2,1,5,3,2043,0.3
2,1,5,3,2044,0.3
2,1,5,3,2045,0.3
2,1,5,3,2046,0.3
2,1,5,3,2047,0.3
2,1,5,3,2048,0.3
2,1,5,3,2049,0.3
2,1,5,3,2050,0.3
2,2,5,1,2023,999.0
2,2,5,1,2024,999.0
2,2,5,1,2025,999.0
2,2,5,1,2026,999.0
2,2,5,1,2027,999.0
2,2,5,1,2028,999.0
2,2,5,1,2029,999.0
2,2,5,1,2030,999.0
2,2,5,1,2031,999.0
2,2,5,1,2032,999.0
2,2,5,1,2033,999.0
2,2,5,1,2034,999.0
2,2,5,1,2035,999.0
2,2,5,1,2036,999.0
2,2,5,1,2037,999.0
2,2,5,1,2038,999.0
2,2,5,1,2039,999.0
2,2,5,1,2040,999.0
2,2,5,1,2041,999.0
2,2,5,1,2042,999.0
2,2,5,1,2043,999.0
2,2,5,1,2044,999.0
2,2,5,1,2045,999.0
2,2,5,1,2046,999.0
2,2,5,1,2047,999.0
2,2,5,1,2048,999.0
2,2,5,1,2049,999.0
2,2,5,1,2050,999.0
2,3,5,1,2023,0.1
2,3,5,1,2024,0.1
2,3,5,1,2025,0.1
2,3,5,1,2026,0.1
2,3,5,1,2027,0.1
2,3,5,1,2028,0.1
2,3,5,1,2029,0.1
2,3,5,1,2030,0.1
2,3,5,1,2031,0.1
2,3,5,1,2032,0.1
2,3,5,1,2033,0.1
2,3,5,1,2034,0.1
2,3,5,1,2035,0.1
2,3,5,1,2036,0.1
2,3,5,1,2037,0.1
2,3,5,1,2038,0.1
2,3,5,1,2039,0.1
2,3,5,1,2040,0.1
2,3,5,1,2041,0.1
2,3,5,1,2042,0.1
2,3,5,1,2043,0.1
2,3,5,1,2044,0.1
2,3,5,1,2045,0.1
2,3,5,1,2046,0.1
2,3,5,1,2047,0.1
2,3,5,1,2048,0.1
2,3,5,1,2049,0.1
2,3,5,1,2050,0.1
2,4,5,1,2023,0.1
2,4,5,1,2024,0.1
2,4,5,1,2025,0.1
2,4,5,1,2026,0.1
2,4,5,1,2027,0.1
2,4,5,1,2028,0.1
2,4,5,1,2029,0.1
2,4,5,1,2030,0.1
2,4,5,1,2031,0.1
2,4,5,1,2032,0.1
2,4,5,1,2033,0.1
2,4,5,1,2034,0.1
2,4,5,1,2035,0.1
2,4,5,1,2036,0.1
2,4,5,1,2037,0.1
2,4,5,1,2038,0.1
2,4,5,1,2039,0.1
2,4,5,1,2040,0.1
2,4,5,1,2041,0.1
2,4,5,1,2042,0.1
2,4,5,1,2043,0.1
2,4,5,1,2044,0.1
2,4,5,1,2045,0.1
2,4,5,1,2046,0.1
2,4,5,1,2047,0.1
2,4,5,1,2048,0.1
2,4,5,1,2049,0.1
2,4,5,1,2050,0.1
3,1,5,1,2023,0.1
3,1,5,1,2024,0.1
3,1,5,1,2025,0.1
3,1,5,1,2026,0.1
3,1,5,1,2027,0.1
3,1,5,1,2028,0.1
3,1,5,1,2029,0.1
3,1,5,1,2030,0.1
3,1,5,1,2031,0.1
3,1,5,1,2032,0.1
3,1,5,1,2033,0.1
3,1,5,1,2034,0.1
3,1,5,1,2035,0.1
3,1,5,1,2036,0.1
3,1,5,1,2037,0.1
3,1,5,1,2038,0.1
3,1,5,1,2039,0.1
3,1,5,1,2040,0.1
3,1,5,1,2041,0.1
3,1,5,1,2042,0.1
3,1,5,1,2043,0.1
3,1,5,1,2044,0.1
3,1,5,1,2045,0.1
3,1,5,1,2046,0.1
3,1,5,1,2047,0.1
3,1,5,1,2048,0.1
3,1,5,1,2049,0.1
3,1,5,1,2050,0.1
3,1,5,2,2023,0.2
3,1,5,2,2024,0.2
3,1,5,2,2025,0.2
3,1,5,2,2026,0.2
3,1,5,2,2027,0.2
3,1,5,2,2028,0.2
3,1,5,2,2029,0.2
3,1,5,2,2030,0.2
3,1,5,2,2031,0.2
3,1,5,2,2032,0.2
3,1,5,2,2033,0.2
3,1,5,2,2034,0.2
3,1,5,2,2035,0.2
3,1,5,2,2036,0.2
3,1,5,2,2037,0.2
3,1,5,2,2038,0.2
3,1,5,2,2039,0.2
3,1,5,2,2040,0.2
3,1,5,2,2041,0.2
3,1,5,2,2042,0.2
3,1,5,2,2043,0.2
3,1,5,2,2044,0.2
3,1,5,2,2045,0.2
3,1,5,2,2046,0.2
3,1,5,2,2047,0.2
3,1,5,2,2048,0.2
3,1,5,2,2049,0.2
3,1,5,2,2050,0.2
3,1,5,3,2023,0.3
3,1,5,3,2024,0.3
3,1,5,3,2025,0.3
3,1,5,3,2026,0.3
3,1,5,3,2027,0.3
3,1,5,3,2028,0.3
3,1,5,3,2029,0.3
3,1,5,3,2030,0.3
3,1,5,3,2031,0.3
3,1,5,3,2032,0.3
3,1,5,3,2033,0.3
3,1,5,3,2034,0.3
3,1,5,3,2035,0.3
3,1,5,3,2036,0.3
3,1,5,3,2037,0.3
3,1,5,3,2038,0.3
3,1,5,3,2039,0.3
3,1,5,3,2040,0.3
3,1,5,3,2041,0.3
3,1,5,3,2042,0.3
3,1,5,3,2043,0.3
3,1,5,3,2044,0.3
3,1,5,3,2045,0.3
3,1,5,3,2046,0.3
3,1,5,3,2047,0.3
3,1,5,3,2048,0.3
3,1,5,3,2049,0.3
3,1,5,3,2050,0.3
3,2,5,1,2023,999.0
3,2,5,1,2024,999.0
3,2,5,1,2025,999.0
3,2,5,1,2026,999.0
3,2,5,1,2027,999.0
3,2,5,1,2028,999.0
3,2,5,1,2029,999.0
3,2,5,1,2030,999.0
3,2,5,1,2031,999.0
3,2,5,1,2032,999.0
3,2,5,1,2033,999.0
3,2,5,1,2034,999.0
3,2,5,1,2035,999.0
3,2,5,1,2036,999.0
3,2,5,1,2037,999.0
3,2,5,1,2038,999.0
3,2,5,1,2039,999.0
3,2,5,1,2040,999.0
3,2,5,1,2041,999.0
3,2,5,1,2042,999.0
3,2,5,1,2043,999.0
3,2,5,1,2044,999.0
3,2,5,1,2045,999.0
3,2,5,1,2046,999.0
3,2,5,1,2047,999.0
3,2,5,1,2048,999.0
3,2,5,1,2049,999.0
3,2,5,1,2050,999.0
3,3,5,1,2023,0.1
3,3,5,1,2024,0.1
3,3,5,1,2025,0.1
3,3,5,1,2026,0.1
3,3,5,1,2027,0.1
3,3,5,1,2028,0.1
3,3,5,1,2029,0.1
3,3,5,1,2030,0.1
3,3,5,1,2031,0.1
3,3,5,1,2032,0.1
3,3,5,1,2033,0.1
3,3,5,1,2034,0.1
3,3,5,1,2035,0.1
3,3,5,1,2036,0.1
3,3,5,1,2037,0.1
3,3,5,1,2038,0.1
3,3,5,1,2039,0.1
3,3,5,1,2040,0.1
3,3,5,1,2041,0.1
3,3,5,1,2042,0.1
3,3,5,1,2043,0.1
3,3,5,1,2044,0.1
3,3,5,1,2045,0.1
3,3,5,1,2046,0.1
3,3,5,1,2047,0.1
3,3,5,1,2048,0.1
3,3,5,1,2049,0.1
3,3,5,1,2050,0.1
3,4,5,1,2023,0.1
3,4,5,1,2024,0.1
3,4,5,1,2025,0.1
3,4,5,1,2026,0.1
3,4,5,1,2027,0.1
3,4,5,1,2028,0.1
3,4,5,1,2029,0.1
3,4,5,1,2030,0.1
3,4,5,1,2031,0.1
3,4,5,1,2032,0.1
3,4,5,1,2033,0.1
3,4,5,1,2034,0.1
3,4,5,1,2035,0.1
3,4,5,1,2036,0.1
3,4,5,1,2037,0.1
3,4,5,1,2038,0.1
3,4,5,1,2039,0.1
3,4,5,1,2040,0.1
3,4,5,1,2041,0.1
3,4,5,1,2042,0.1
3,4,5,1,2043,0.1
3,4,5,1,2044,0.1
3,4,5,1,2045,0.1
3,4,5,1,2046,0.1
3,4,5,1,2047,0.1
3,4,5,1,2048,0.1
3,4,5,1,2049,0.1
3,4,5,1,2050,0.1
4,1,5,1,2023,0.1
4,1,5,1,2024,0.1
4,1,5,1,2025,0.1
4,1,5,1,2026,0.1
4,1,5,1,2027,0.1
4,1,5,1,2028,0.1
4,1,5,1,2029,0.1
4,1,5,1,2030,0.1
4,1,5,1,2031,0.1
4,1,5,1,2032,0.1
4,1,5,1,2033,0.1
4,1,5,1,2034,0.1
4,1,5,1,2035,0.1
4,1,5,1,2036,0.1
4,1,5,1,2037,0.1
4,1,5,1,2038,0.1
4,1,5,1,2039,0.1
4,1,5,1,2040,0.1
4,1,5,1,2041,0.1
4,1,5,1,2042,0.1
4,1,5,1,2043,0.1
4,1,5,1,2044,0.1
4,1,5,1,2045,0.1
4,1,5,1,2046,0.1
4,1,5,1,2047,0.1
4,1,5,1,2048,0.1
4,1,5,1,2049,0.1
4,1,5,1,2050,0.1
4,1,5,2,2023,0.2
4,1,5,2,2024,0.2
4,1,5,2,2025,0.2
4,1,5,2,2026,0.2
4,1,5,2,2027,0.2
4,1,5,2,2028,0.2
4,1,5,2,2029,0.2
4,1,5,2,2030,0.2
4,1,5,2,2031,0.2
4,1,5,2,2032,0.2
4,1,5,2,2033,0.2
4,1,5,2,2034,0.2
4,1,5,2,2035,0.2
4,1,5,2,2036,0.2
4,1,5,2,2037,0.2
4,1,5,2,2038,0.2
4,1,5,2,2039,0.2
4,1,5,2,2040,0.2
4,1,5,2,2041,0.2
4,1,5,2,2042,0.2
4,1,5,2,2043,0.2
4,1,5,2,2044,0.2
4,1,5,2,2045,0.2
4,1,5,2,2046,0.2
4,1,5,2,2047,0.2
4,1,5,2,2048,0.2
4,1,5,2,2049,0.2
4,1,5,2,2050,0.2
4,1,5,3,2023,0.3
4,1,5,3,2024,0.3
4,1,5,3,2025,0.3
4,1,5,3,2026,0.3
4,1,5,3,2027,0.3
4,1,5,3,2028,0.3
4,1,5,3,2029,0.3
4,1,5,3,2030,0.3
4,1,5,3,2031,0.3
4,1,5,3,2032,0.3
4,1,5,3,2033,0.3
4,1,5,3,2034,0.3
4,1,5,3,2035,0.3
4,1,5,3,2036,0.3
